transaction_date,ticker,executive,executive_title,security_type,acquisition_or_disposal,shares,share_price
2024-08-20,PLTR,"GLAZER, DAVID A.",See Remarks,Class A Common Stock,D,44902.0,32.2484
2024-08-20,PLTR,"TAYLOR, RYAN D.",See Remarks,Class A Common Stock,D,171.0,32.666
2024-08-20,PLTR,"TAYLOR, RYAN D.",See Remarks,Class A Common Stock,D,51196.0,32.2484
2024-08-20,PLTR,"PLANISHEK, HEATHER A.",See Remarks,Class A Common Stock,D,38.0,32.666
2024-08-20,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,A,207050.0,
2024-08-20,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class B Common Stock,A,97500.0,0.0
2024-08-20,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Restricted Stock Units,D,97500.0,0.0
2024-08-20,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Restricted Stock Units,D,877500.0,0.0
2024-08-16,PLTR,"TAYLOR, RYAN D.",See Remarks,Class A Common Stock,D,160000.0,32.001
2024-08-16,PLTR,"TAYLOR, RYAN D.",See Remarks,Employee Stock Option (Right to buy),D,160000.0,0.0
2024-08-16,PLTR,"TAYLOR, RYAN D.",See Remarks,Class A Common Stock,A,160000.0,4.72
2024-08-14,PLTR,"GLAZER, DAVID A.",See Remarks,Class A Common Stock,A,72500.0,4.72
2024-08-14,PLTR,"GLAZER, DAVID A.",See Remarks,Class A Common Stock,D,72500.0,31.18
2024-08-14,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,41930.0,0.0572
2024-08-14,PLTR,"GLAZER, DAVID A.",See Remarks,Employee Stock Option (Right to buy),D,72500.0,0.0
2024-08-13,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,57714.0,0.0566
2024-08-12,PLTR,"PLANISHEK, HEATHER A.",See Remarks,Class A Common Stock,A,20000.0,4.72
2024-08-12,PLTR,"GLAZER, DAVID A.",See Remarks,Class A Common Stock,A,107500.0,4.72
2024-08-12,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,17358.0,0.0569
2024-08-12,PLTR,"PLANISHEK, HEATHER A.",See Remarks,Employee Stock Option (Right to buy),D,20000.0,0.0
2024-08-12,PLTR,"PLANISHEK, HEATHER A.",See Remarks,Class A Common Stock,D,20000.0,30.2428
2024-08-12,PLTR,"GLAZER, DAVID A.",See Remarks,Employee Stock Option (Right to buy),D,107500.0,0.0
2024-08-12,PLTR,"GLAZER, DAVID A.",See Remarks,Class A Common Stock,D,107500.0,31.1804
2024-08-09,PLTR,"TAYLOR, RYAN D.",See Remarks,Class A Common Stock,A,160000.0,4.72
2024-08-09,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,20667.0,0.0792
2024-08-09,PLTR,"TAYLOR, RYAN D.",See Remarks,Employee Stock Option (Right to buy),D,160000.0,0.0
2024-08-09,PLTR,"TAYLOR, RYAN D.",See Remarks,Class A Common Stock,D,249684.0,30.0134
2024-08-08,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,112560.0,0.063
2024-08-07,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,20000.0,0.0555
2024-08-06,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,17332.0,0.0601
2024-08-05,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,19300.0,0.0586
2024-08-02,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,10066.0,0.07
2024-08-01,PLTR,"MOORE, ALEXANDER D.",Director,Class A Common Stock,D,11660.0,26.3828
2024-08-01,PLTR,"STAT, LAUREN ELAINA FRIEDMAN",Director,Class A Common Stock,D,2350.0,26.213
2024-08-01,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,80000.0,0.0684
2024-08-01,PLTR,"STAT, LAUREN ELAINA FRIEDMAN",Director,Class A Common Stock,D,700.0,27.1557
2024-08-01,PLTR,"MOORE, ALEXANDER D.",Director,Class A Common Stock,D,8340.0,27.1802
2024-07-31,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,38097.0,0.0725
2024-07-30,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,21327.0,0.08
2024-07-29,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,19652.0,0.0877
2024-07-26,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,5278.0,0.0826
2024-07-22,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,19998.0,0.0915
2024-07-19,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,23600.0,0.0911
2024-07-18,PLTR,"GLAZER, DAVID A.",See Remarks,Class A Common Stock,A,52656.0,4.72
2024-07-18,PLTR,"GLAZER, DAVID A.",See Remarks,Class A Common Stock,D,90000.0,29.3638
2024-07-18,PLTR,"GLAZER, DAVID A.",See Remarks,Class A Common Stock,A,37344.0,4.72
